"X","Y","E","N","CRS","s2tile","l89_path","l89_row"
122.282961793323,52.9778314882921,451855,5870045,32651,"51UVU",123,23
-150.036027052671,67.2524619472693,627855,7462575,32605,"05WPQ",73,13
-157.425764816253,63.6572853942055,577935,7059785,32604,"04VER",75,15
154.554303122019,61.7822685825293,581985,6850905,32656,"56VNP",105,17
-50.4749583849876,80.2512573144092,509925,8909675,32622,"22XEQ",29,2
-101.683498663143,65.4053539411277,653965,7257685,32613,"13WFN",41,14
47.5676535950891,50.5868044409154,681755,5607025,32638,"38UPB",170,25
-82.5852543557772,82.2248710187295,566615,9132475,32616,"16XES",52,247
-68.6429573573409,-47.7445016171936,526765,4712035,32719,"19GEH",228,93
62.1550049516804,56.1283379682408,447475,6220685,32641,"41VMC",162,21
48.8577561052314,65.3649097705879,679345,7254615,32638,"38WPT",176,14
65.8013649192498,38.3044166073387,744955,4243305,32641,"41SQC",156,33
44.0125048329487,6.60177500277809,390835,729835,32638,"38NLN",165,55
-156.986448082895,58.9215801535601,615935,6533065,32604,"04VFL",73,19
48.0681198349744,22.8555419760492,814865,2530805,32638,"38QRL",164,44
-25.7962346904191,78.5933696192498,526575,8724865,32626,"26XNN",11,3
105.401802088522,69.3074339096015,515845,7688695,32648,"48WWB",141,11
-103.191959904552,46.3103138851786,639215,5130115,32613,"13TFM",34,28
-65.9806349034322,5.69545554940605,834485,630415,32619,"19NHG",3,56
139.852514664498,75.1178570931554,467105,8337075,32654,"54XVJ",125,7
-32.2039527108642,75.8282266160559,521755,8416165,32625,"25XEE",4,6
-4.37031865161668,35.0479150052928,375025,3879215,32630,"30SUD",200,36
-41.5266195834611,71.8636992404764,620615,7977205,32623,"23WPV",7,9
-128.011807496666,62.0780192460308,551625,6883265,32609,"09VWJ",55,17
-90.0651067761049,47.9704516728774,719045,5317185,32615,"15UYP",25,27
23.4121098076882,51.255435929541,668315,5680995,32634,"34UFB",186,24
-83.5946350660783,77.8519875481477,579955,8644175,32616,"16XEM",45,4
39.3251201894743,40.7528726201617,527445,4511375,32637,"37TEF",173,32
42.7387643381269,34.3923218894049,292125,3807975,32638,"38SKD",170,36
129.215268978651,51.9797245137784,514785,5758805,32652,"52UEC",118,24
-35.9046257809743,80.6536045903797,556095,8956035,32624,"24XWQ",29,1
146.968295824265,69.7443549815399,498775,7737365,32655,"55WDT",116,11
